ligand_id,GPR40_Kd_M,GPR40_pKd,GPR40_dG_kcal_mol,HSA_Kd_M_dsf,HSA_pKd_dsf,HSA_Kd_M,HSA_pKd,HSA_dG_kcal_mol,OAT1_Kd_M,OAT1_pKd,OAT1_dG_kcal_mol,OAT4_Kd_M,OAT4_pKd,OAT4_dG_kcal_mol,PPARG_Kd_M,PPARG_pKd,PPARG_dG_kcal_mol,TBG_Kd_M,TBG_pKd,TBG_dG_kcal_mol,TTR_Kd_M,TTR_pKd,TTR_dG_kcal_mol,URAT1_Kd_M,URAT1_pKd,URAT1_dG_kcal_mol
065_DTXSID20335129,1.3334628956184778e-07,6.87501906430282,-9.751,0.004707819534664968,2.3271801933649963,0.04698906267443672,1.3280032180836658,-11.45,2.5143780723604588e-06,5.599569419412676,-7.942,4.996547837965577e-06,5.3013299502095075,-7.519,1.4810909304722694e-06,5.8294182774746925,-8.268,1.2790824587662406e-05,4.893101456903043,-6.94,2.9228334988469584e-06,5.534195923811762,-5.96,2.610038485056312e-06,5.583353088935907,-7.919
066_DTXSID80569266,6.312456229323494e-06,5.199801620268004,-7.375,2.9463471651508875,-0.4692839180077454,29.407688757928696,-1.4684608932890761,-6.66,3.908214050178978e-05,4.4080216582936345,-6.252,0.000141149420201392,3.8503209014621786,-5.461,5.864659516295187e-05,4.231757196589634,-6.002,0.0007381303188794185,3.1318669555566743,-4.442,1.7124270181064818e-05,4.766387928629138,-4.871,2.8384545584417045e-05,4.546918054116387,-6.449
067_DTXSID0073168,1.353865644344857e-05,4.868424432264483,-6.905,8.940560740855707,-0.951364758060169,89.23633667418697,-1.9505417333414996,-6.101,8.743534615184802e-05,4.058312966272899,-5.756,0.00014486385032151506,3.8390399759131224,-5.445,8.395771060766635e-05,4.075939412443298,-5.781,0.0005928573864263277,3.2270497648768344,-4.577,3.9897640204716186e-05,4.399052790438001,-4.35,3.28501345032765e-05,4.483462847902946,-6.359
068_DTXSID10327679,3.5301053842145123e-06,5.452212329428131,-7.733,2.0198473279787605,-0.30531854413862874,20.16023171413725,-1.3044955194199594,-6.953,3.516815474150076e-05,4.453850418336675,-6.317,9.49828034782248e-05,4.022355016085283,-5.705,5.7421832949881206e-05,4.240922948598242,-6.015,0.0002940121279120128,3.5316347547013467,-5.009,1.607366139611227e-05,4.793885184654961,-4.91,1.242245699235529e-05,4.905792498145731,-6.958
070_DTXSID00892442,1.531651512433994e-05,4.814840035906467,-6.829,0.03573215128982469,1.446940835877766,0.35664499968338637,0.44776386059643536,-9.68,1.936048654329669e-06,5.713083732750051,-8.103,1.0821253845905401e-05,4.965722415125092,-7.043,1.8772415933959803e-06,5.726479831839556,-8.122,2.3665488145383288e-05,4.625884532959779,-6.561,6.475635886012378e-06,5.188717578871921,-5.47,2.237002222709782e-06,5.650333584383427,-8.014
071_DTXSID1067629,1.4746689030520075e-07,6.831305477800229,-9.689,0.010100018563297593,1.9956778280064364,0.10080896300064726,0.9965008527251057,-10.65,2.6355864017289065e-06,5.579122741855012,-7.913,2.8677432498120235e-06,5.542459733820579,-7.861,9.416089617868476e-07,6.026129416736357,-8.547,3.322557893755988e-05,4.478527442975235,-6.352,3.5399807640423814e-06,5.450999097887474,-5.842,0.00018301570284538,3.737511645971619,-5.301
072_DTXSID00192353,2.5088599072022512e-08,7.600523588676484,-10.78,0.0015639575105845641,2.8057750499777847,0.015609964856107,1.806598074696454,-11.79,1.2215403353156006e-07,6.913092188030884,-9.805,2.6627817910193526e-07,6.574664421559204,-9.325,9.239274331348941e-08,7.034362137683236,-9.977,5.973466231597243e-06,5.223773587059747,-7.409,2.4700516424216796e-07,6.607293966665715,-7.482,1.8429579254371073e-08,7.734484579571525,-10.97
073_DTXSID50335697,3.805820531824789e-07,6.419551695259684,-9.105,0.20607118692737755,0.6859827274503881,2.0568103442850445,-0.3131942478309424,-8.832,4.62948126601392e-06,5.334467669009859,-7.566,1.6423943846323498e-05,4.784522548493379,-6.786,2.5348710403141904e-06,5.596044130178596,-7.937,8.233792030974461e-05,4.084400106605091,-5.793,6.603027641130513e-06,5.180256884710129,-5.458,2.4000035065613187e-07,6.619788123755428,-9.389
074_DTXSID3032620,4.4045699443718273e-07,6.356096489046244,-9.015,0.017278016666361896,1.7625061114109388,0.17245304371749223,0.7633291361296083,-10.42,3.045281235895696e-06,5.516372593488387,-7.824,8.215721787360444e-07,6.0853542758689,-8.631,1.3722840125306028e-06,5.862555996275043,-8.315,8.158259578492343e-06,5.088402480471075,-7.217,7.911020492532227e-07,6.101767490498641,-6.765,0.0019646397469075478,2.706717073926626,-3.839
075_DTXSID90626970,4.192989765320694e-06,5.377476197665636,-7.627,2.6593901145413725,-0.4247820500676708,26.543551180717674,-1.4239590253490013,-6.835,5.7983896770698604e-05,4.236692601517347,-6.009,9.15015926716571e-05,4.03857134656205,-5.728,4.9055356957652995e-05,4.309313559739396,-6.112,0.0003188732863117284,3.496381862360546,-4.959,1.7348124656326064e-05,4.7607474658546085,-4.863,1.6080949922180383e-05,4.793688300501987,-6.799
076_DTXSID70880159,6.329353965273381e-08,7.198640615991366,-10.21,0.02275827848192733,1.6428605926318018,0.2271519046291717,0.6436836173504712,-10.26,1.3722840125306028e-06,5.862555996275043,-8.315,2.1620224578030963e-06,5.665139799166564,-8.035,7.799807295975191e-07,6.107916126967012,-8.663,2.378102889392224e-05,4.623769359419331,-6.558,3.2852486171243554e-06,5.483431758841009,-5.888,2.3844688035826373e-07,6.622608355142693,-9.393
077_DTXSID4059881,8.496185104134712e-06,5.070776034300676,-7.192,3.1206876838434487,-0.49425030696382405,31.147793173405518,-1.4934272822451546,-6.724,6.258137735070872e-05,4.203554882716994,-5.962,0.0001803610825808744,3.7438571665929623,-5.31,6.443712549295421e-05,4.1908638414743065,-5.944,0.00035551425018879776,3.4491429866238748,-4.892,1.8754060417873734e-05,4.726904689207441,-4.815,1.1016235745914371e-05,4.957966778810116,-7.032
078_DTXSID5027140,9.016998441563065e-08,7.044938005385478,-9.992,0.007464206086358798,2.1270163782469753,0.07450074180292168,1.1278394029656444,-10.94,1.3992802291113444e-06,5.854095302113253,-8.303,3.7304363762670734e-06,5.428240362636387,-7.699,7.03007844051573e-07,6.153039829163236,-8.727,2.0514945923369087e-05,4.687929623479587,-6.649,2.1857411147168922e-06,5.660401278391825,-6.139,2.2650557988724722e-05,4.644921094823811,-6.588
079_DTXSID50397558,4.38798790727601e-06,5.357734577954787,-7.599,0.7647286408755696,0.11649264416272823,7.632807878562023,-0.8826843311186024,-8.076,1.944479941867724e-05,4.711196532424515,-6.682,6.656367867719144e-05,4.176762684537987,-5.924,2.5089820226804855e-05,4.600502450474403,-6.525,8.409412293020463e-05,4.075234354596483,-5.78,1.0202312412207178e-05,4.99130138176344,-5.19,2.6355864017289065e-06,5.579122741855012,-7.913
080_DTXSID30190948,1.1057865675999688e-06,5.956328689901572,-8.448,0.3665439199741654,0.4358739799324671,3.658499460690457,-0.5633029953488635,-8.272,1.0526684373579692e-05,4.977708398520964,-7.06,8.45046911741976e-05,4.073119181056034,-5.777,7.78306830666966e-06,5.10884915802874,-7.246,0.00022094036353417768,3.655724935740962,-5.185,4.175310996347101e-05,4.379311170727153,-4.322,1.947639282720158e-05,4.710491474577699,-6.681
081_DTXSID60195123,3.8784650968296155e-09,8.411340112514885,-11.93,0.00038210258169693573,3.4178200279673216,0.003813791507345691,2.418643052685991,-13.0,1.3098612648095503e-07,6.882774700617797,-9.762,1.991270334915242e-07,6.700869776139268,-9.504,4.083135246355782e-08,7.389006234631686,-10.48,3.1457815679565973e-06,5.502271436552068,-7.804,1.2902768182886257e-07,6.889317105392115,-7.882,1.4746689030520075e-07,6.831305477800229,-9.689
